FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,04/19/23 14:27:48.124999936
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
12159:ch1,Timeseries,8Hz,,,,,,
12159:ch2,Timeseries,8Hz,,,,,,
12159:ch3,Timeseries,8Hz,,,,,,
40622:ch1,Timeseries,8Hz,,,,,,
40622:ch2,Timeseries,8Hz,,,,,,
40622:ch3,Timeseries,8Hz,,,,,,

DATA_START
Time,12159:ch1,12159:ch2,12159:ch3,40622:ch1,40622:ch2,40622:ch3
0.000000000,0.9963818411320062,-0.04256551200523973,0.05647526408756676,,,
0.125000000,0.9964050705752925,-0.04273130714500439,0.05663597378406848,,,
0.250000000,0.9964747589051512,-0.04341376620868687,0.05513333812177734,,,
0.375000000,0.9966993101902517,-0.04238814976270078,0.05575608819572153,,,
0.500000000,0.9966954386163707,-0.04131240920469281,0.05484406066807423,,,
0.625000000,0.9964011990014114,-0.04273901854685391,0.05517753328831532,,,
0.750000000,0.9965792913999394,-0.04104636584088439,0.05611768501285042,,,
0.875000000,0.9967341543551811,-0.04202956957669812,0.05524985265174109,,,
1.000000000,0.9963276390976716,-0.0435641385447525,0.05672034637473189,,,
1.124999881,0.996362483262601,-0.0431515785458032,0.05531413653034178,,,
1.250000000,0.9963973274275304,-0.04337520919943927,0.05502887681905122,,,
1.375000119,0.9965638051044152,-0.04256936770616448,0.05562350269610761,,,
1.500000000,0.9964128137230546,-0.0422994686414313,0.05579626561984696,,,
1.624999881,0.9966218787126309,-0.04289710228476906,0.05510521392488954,,,
1.750000000,0.9965483188088911,-0.04080731238354929,0.05559537849921981,,,
1.875000119,0.9963702264103631,-0.04190618714710581,0.05592483337704834,,,
2.000000000,0.996176647716311,-0.04278143125702627,0.05711810287357366,,,
2.125000000,0.9965057314961996,-0.04220693181923707,0.05679266573815767,,,
2.249999762,0.9962927949327423,-0.04270431723853108,0.05649535279962947,,,
2.375000000,0.9961650329946679,-0.0435448600401287,0.0578292432805938,,,
2.500000000,0.9962966665066233,-0.04406923536589602,0.05587260272568528,,,
2.500000000,,,,-0.0001015866482703132,-6.622893397434382e-05,-4.663999243348371e-05
2.625000000,0.9964941167745565,-0.04399212134740083,0.05506101875835157,,,
2.625000000,,,,-0.0001680086875239795,-0.0003077697519984213,0.0002293132961312949
2.750000238,0.9964166852969356,-0.04280070976165007,0.05600117048288666,,,
2.750000238,,,,0.000109401005829568,0.0001986868019230315,-0.0004469665941542189
2.875000000,0.9964592726096271,-0.04372993368451716,0.05547082848443097,,,
2.875000000,,,,5.470050291478401e-05,-0.0002921864734162227,5.052665846960736e-05
3.000000000,0.9964902452006754,-0.04152832845647936,0.05564760915058287,,,
3.000000000,,,,0.0001054938270499406,-8.960385184764164e-05,-0.0001515799754088221
3.125000000,0.9964050705752925,-0.04092298341129208,0.05663195604165594,,,
3.125000238,,,,-3.125743023701943e-05,0.0001363536875942373,-0.0001787866376616876
3.249999762,0.9962308497506456,-0.04305133032175945,0.05597304628599886,,,
3.250000238,,,,0.000191451760201744,3.895819645549636e-06,-6.218665657797828e-05
3.375000000,0.9962927949327423,-0.04428129891675781,0.05614982695215076,,,
3.375000000,,,,0.0001875445814221166,-0.0001441453268853365,-4.275332639736007e-05
3.500000000,0.9966102639909877,-0.04333279648926691,0.05654356570857999,,,
3.500000000,,,,-5.079332413515658e-05,0.0002921864734162227,0.0003303666130705096
3.625000000,0.9963508685409579,-0.04277371985517675,0.05567573334747067,,,
3.625000000,,,,8.205075437217602e-05,-0.000171416064404184,-8.939331883084378e-05
3.750000238,0.9962502076200508,-0.04157845256850123,0.05591679789222326,,,
3.750000238,,,,-9.37722907110583e-05,0.0002337491787329782,3.886666036123643e-06
3.875000000,0.9965870345477015,-0.04335978639574023,0.0539280153980144,,,
3.875000000,,,,-5.860768169441144e-05,0.0002181659001507796,0.0001010533169392147
4.000000000,0.9966722091730844,-0.04283926677089767,0.05375525247427504,,,
4.000000000,,,,3.907178779627429e-06,-0.0001480411465308862,-0.0004003266017207352
4.125000000,0.9964437863141029,-0.04261178041633684,0.05549493493890623,,,
4.125000000,,,,-0.000164101508744352,1.558327858219855e-05,-3.886666036123643e-05
4.250000000,0.9963702264103631,-0.04330195088186883,0.05614580920973822,,,
4.250000000,,,,8.595793315180345e-05,5.454147503769491e-05,-0.0002293132961312949
4.375000000,0.9964979883484375,-0.04331351798464311,0.0557721591653717,,,
4.375000000,,,,-0.0001601943299647246,-1.558327858219855e-05,-7.773332072247285e-06
4.499999523,0.9964592726096271,-0.0426541931265092,0.05508110747041428,,,
4.500000477,,,,8.205075437217602e-05,6.622893397434382e-05,0.0001438066433365748
4.625000000,0.9965676766782963,-0.04214909630536567,0.05640294472414098,,,
