FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,04/14/23 15:21:31.124999936
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
12159:ch1,Timeseries,8Hz,,,,,,
12159:ch2,Timeseries,8Hz,,,,,,
12159:ch3,Timeseries,8Hz,,,,,,
40622:ch1,Timeseries,8Hz,,,,,,
40622:ch2,Timeseries,8Hz,,,,,,
40622:ch3,Timeseries,8Hz,,,,,,

DATA_START
Time,12159:ch1,12159:ch2,12159:ch3,40622:ch1,40622:ch2,40622:ch3
0.000000000,0.9968464299977313,0.07876182899417472,-0.01978550464491491,,,
0.125000000,0.9969587056402816,0.07859988955533481,-0.01965291914530098,,,
0.250000000,0.9966605944514413,0.0787348390877014,-0.01938373040366059,,,
0.375000000,0.9968425584238503,0.07885436581636895,-0.01942792557019857,,,
0.500000000,0.9968270721283261,0.07879653030249756,-0.01922302070715887,,,
0.625000000,0.9968309437022072,0.07858446675163577,-0.01927926910093447,,,
0.750000000,0.9968851457365417,0.0785536211442377,-0.01902615132894425,,,
0.875000000,0.9968619162932555,0.0787348390877014,-0.01920694973750869,,,
1.000000000,0.9969664487880436,0.07834155759337591,-0.01940381911572331,,,
1.124999881,0.9967767416678726,0.07878496319972328,-0.01910248843478257,,,
1.250000000,0.9969006320320659,0.07871170488215284,-0.01906231101065714,,,
1.375000119,0.9968386868499692,0.07859217815348529,-0.01921498522233378,,,
1.500000000,0.9969664487880436,0.07865772506920621,-0.01905025778341951,,,
1.624999881,0.9968890173104228,0.07875026189140044,-0.01910650617719512,,,
1.750000000,0.9967922279633967,0.07867700357383001,-0.0192631981312843,,,
1.875000119,0.9967418975029432,0.07866158077013097,-0.0191145416620202,,,
2.000000000,0.9969354761969953,0.07889677852654131,-0.01927926910093447,,,
2.125000000,0.9967960995372778,0.07886593291914323,-0.01913864811649546,,,
2.249999762,0.9967380259290621,0.07896232544226223,-0.01899802713205645,,,
2.375000000,0.9968464299977313,0.0787541175923252,-0.01910248843478257,,,
2.500000000,0.996819328980564,0.07868471497567953,-0.01915471908614563,,,
2.500000000,,,,-5.079332413515658e-05,-2.337491787329782e-05,-4.663999243348371e-05
2.625000000,0.9969006320320659,0.07884665441451943,-0.01934355297953516,,,
2.625000000,,,,7.032921803329373e-05,-3.895819645549636e-05,0.0001360333112643275
2.750000238,0.9969393477708763,0.07891991273208987,-0.01909847069237003,,,
2.750000238,,,,-0.0001484727936258423,7.791639291099273e-05,1.943333018061821e-05
2.875000000,0.9970090361007351,0.07870013777937857,-0.01910650617719512,,,
2.875000000,,,,0.0001797302238628617,6.622893397434382e-05,0.0001165999810837093
3.000000000,0.9969664487880436,0.07876954039602424,-0.01945203202467383,,,
3.000000000,,,,-0.0001133081846091955,7.402057326544309e-05,-0.0002215399640590476
3.125000000,0.9968928888843038,0.07868471497567953,-0.0190301690713568,,,
3.125000238,,,,3.516460901664686e-05,0.0001324578679486876,0.0001243733131559566
3.249999762,0.9968657878671365,0.07872327198492712,-0.0189377609958683,,,
3.250000238,,,,-8.595793315180345e-05,5.064565539214527e-05,7.773332072247285e-06
3.375000000,0.9968541731454934,0.07863459086365765,-0.01933551749471007,,,
3.375000000,,,,3.125743023701943e-05,-0.0001090829500753898,0.0001127133150475856
3.500000000,0.9969625772141626,0.07872712768585188,-0.01921900296474632,,,
3.500000000,,,,-0.0001328440785073326,5.454147503769491e-05,-0.0001321466452282039
3.625000000,0.9967922279633967,0.07866158077013097,-0.0190864174651324,,,
3.625000000,,,,1.172153633888229e-05,0.0001792077036952833,0.0001049399829753384
3.750000238,0.9968851457365417,0.07872712768585188,-0.01931141104023482,,,
3.750000238,,,,6.64220392536663e-05,4.674983574659564e-05,-3.886666036123643e-06
3.875000000,0.9969393477708763,0.07873098338677664,-0.0190301690713568,,,
3.875000000,,,,-0.0001445656148462149,-9.739549113874091e-05,0.0001127133150475856
4.000000000,0.9968619162932555,0.07884665441451943,-0.01888954808691778,,,
4.000000000,,,,0.0001523799724054697,8.181221255654236e-05,-7.773332072247285e-06
4.125000000,0.9967999711111588,0.07888521142376703,-0.01886945937485507,,,
4.125000000,,,,-1.172153633888229e-05,3.895819645549636e-05,-0.0002293132961312949
4.250000000,0.9968464299977313,0.07876568469509948,-0.01890561905656796,,,
4.250000000,,,,-3.516460901664686e-05,-0.0001090829500753898,-1.165999810837093e-05
4.375000000,0.9969238614753522,0.07898545964781079,-0.0189096367989805,,,
4.375000000,,,,1.172153633888229e-05,7.791639291099273e-06,0.0001982199678423058
4.499999523,0.9967922279633967,0.07906257366630598,-0.01882526420831709,,,
4.500000477,,,,0.0001250297209480777,-2.727073751884745e-05,0.0001321466452282039
4.625000000,0.9969703203619247,0.07897003684411175,-0.01890561905656796,,,
4.625000000,,,,8.205075437217602e-05,-1.558327858219855e-05,-0.0003459132772150042
4.750000000,0.9968270721283261,0.07890063422746607,-0.01879714001142929,,,
4.750000000,,,,3.125743023701943e-05,6.233311432879418e-05,-4.275332639736007e-05
4.875000000,0.9967883563895157,0.07882352020897088,-0.01909847069237003,,,
